track_id,time,roi_x,roi_y,vacuole_x,vacuole_y,vector_x,vector_y,delta_vector_x,delta_vector_y,delta_roi_x,delta_roi_y,delta_time,delta_roi_length,delta_vector_length,cos_angle
101,0.0,21.086095709776895,30.330394959962067,17.76,14.76,-3.3260957097768937,-15.570394959962067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101,1.0,20.472579043123446,31.29545055418542,17.5,22.5,-2.972579043123446,-8.795450554185422,0.35351666665344794,6.774944405776646,-0.6135166666534495,0.9650555942233545,1.0,1.1435624164003255,6.784161387744696,0.814799997823014
101,2.0,20.1126090908062,31.342002733933803,16.9375,22.607142857142858,-3.175109090806199,-8.734859876790946,-0.20253004768275318,0.06059067739447599,-0.3599699523172468,0.04655217974838166,1.0,0.36296759085434416,0.21139926774116258,0.9868928839553643
101,3.0,19.655534730673665,31.83583478178977,16.367519181585678,22.70230179028133,-3.288015549087987,-9.133532991508442,-0.11290645828178825,-0.39867311471749645,-0.457074360132534,0.49383204785596746,1.0,0.6728945401622635,0.41435265260438153,-0.5210285718624071
101,4.0,19.399863999128673,31.865175775959873,15.885439560439561,22.485714285714288,-3.5144244386891117,-9.379461490245586,-0.22640888960112449,-0.2459284987371433,-0.255670731544992,0.029340994170102164,1.0,0.25734882340442383,0.3342780456169972,0.589011501470901
101,5.0,19.40533789417065,31.96881595710138,15.93406862745098,22.3953431372549,-3.47126926671967,-9.57347281984648,0.04315517196944185,-0.19401132960089384,0.005473895041976817,0.10364018114150753,1.0,0.10378463602082473,0.19875302483539406,-0.9633320809623266
101,6.0,19.03527601406076,31.83843914981413,15.4594700601412,22.801054650047938,-3.5758059539195592,-9.03738449976619,-0.1045366871998894,0.5360883200802888,-0.3700618801098905,-0.1303768072872522,1.0,0.3923568617838667,0.5461855050230038,-0.14562993173658476
101,7.0,19.169716774714608,31.791492935103104,15.905325271786523,22.544445090401723,-3.2643915029280848,-9.247047844701381,0.31141445099147447,-0.20966334493519057,0.1344407606538489,-0.046946214711024226,1.0,0.14240177386844266,0.3754166731722689,0.9672595564022723
101,8.0,19.007835025298387,32.030746900634945,15.539101604278073,22.80825668449198,-3.468733421020314,-9.222490216142965,-0.20434191809222924,0.0245576285584157,-0.1618817494162208,0.23925396553184086,1.0,0.28887395316429515,0.20581228488606904,0.6552101249859204
101,9.0,19.36372555764268,32.25074088705674,10.96201326486949,23.41546854942234,-8.40171229277319,-8.835272337634404,-4.932978871752876,0.3872178785085616,0.3558905323442936,0.21999398642179813,1.0,0.4183962536568163,4.9481530124478725,-0.8068511825322948
101,10.0,19.216936271345393,32.29648919569961,10.729031385281386,23.233901515151516,-8.487904886064007,-9.062587680548091,-0.08619259329081608,-0.2273153429136876,-0.14678928629728816,0.04574830864286383,1.0,0.15375305627970445,0.243107853147864,0.06027133887947112
101,11.0,19.03904649933812,32.32898739560491,15.96243478961468,23.06974238121135,-3.0766117097234407,-9.259245014393564,5.411293176340566,-0.19665733384547224,-0.17788977200727274,0.032498199905305114,1.0,0.18083391269859933,5.414865459756611,-0.9895969367875277
101,12.0,19.147958125125893,32.393616091397064,10.884546212725896,23.349593745523013,-8.263411912399997,-9.044022345874051,-5.186800202676556,0.21522266851951244,0.10891162578777269,0.0646286957921518,1.0,0.12664363604828446,5.191263539787807,-0.8380884512205625
101,13.0,19.245859062489124,32.57104195975726,11.091147207663349,23.586453710661505,-8.154711854825775,-8.984588249095754,0.10870005757422163,0.05943409677829692,0.09790093736323158,0.1774258683601957,1.0,0.20264385581598293,0.12388750694275456,0.8439334090520996
101,14.0,19.20334068987581,32.90104074880503,8.318103448275862,25.254310344827587,-10.885237241599947,-7.646730403977443,-2.730525386774172,1.337857845118311,-0.04251837261331559,0.3299987890477709,1.0,0.33272663371404454,3.0406631680544383,0.5511353786881339
101,15.0,18.572475481616262,33.35968583251336,15.775300171526586,24.740994854202402,-2.797175310089676,-8.618690978310955,8.088061931510271,-0.9719605743335116,-0.6308652082595465,0.45864508370832624,1.0,0.7799655273165466,8.146253934539752,-0.8732198399252928
101,16.0,18.08718513460318,33.691873090908295,15.175379426644183,25.48397976391231,-2.9118057079589956,-8.207893326995986,-0.11463039786931972,0.4107976513149687,-0.48529034701308404,0.33218725839493857,1.0,0.5880944614124718,0.4264913110973929,0.765859709914263
101,17.0,17.624278256093415,33.55666962542193,14.662691652470187,25.62350936967632,-2.9615866036232283,-7.933160255745612,-0.049780895664232716,0.27473307125037394,-0.462906878509763,-0.13520346548636297,1.0,0.4822476078231748,0.27920672988270945,-0.10472544942752506
101,18.0,17.70607530432327,34.07734169770092,15.114886731391586,25.868932038834952,-2.591188572931685,-8.208409658865971,0.3703980306915433,-0.27524940312035895,0.08179704822985556,0.520672072278991,1.0,0.5270580271188516,0.4614725723792123,-0.4646653216081869
101,19.0,16.913849189806896,34.06890057192249,13.67258064516129,26.08225806451613,-3.2412685446456067,-7.986642507406362,-0.6500799717139216,0.22176715145960912,-0.7922261145163745,-0.008441125778432479,1.0,0.792271083106104,0.6868658086482995,0.9429502573796951
101,20.0,16.767702976565147,35.33893165928417,13.607371794871796,27.245192307692307,-3.1603311816933513,-8.093739351591864,0.0809373629522554,-0.10709684418550225,-0.14614621324174948,1.27003108736168,1.0,1.2784121708236331,0.13424079393447758,-0.861492030217618
101,21.0,16.539024412279502,35.810821521700305,13.380804953560371,27.91331269349845,-3.158219458719131,-7.897508828201854,0.0021117229742202426,0.19623052339001035,-0.22867856428564437,0.47188986241613406,1.0,0.5243795648333958,0.19624188565094164,0.8951564929107086
